id,series,number,issueDate,dueDate,requestedAmount,currency,paidAmount,balance,invoiceAmount,approvedAmount,adherent,debtor
11488,MH,2881,2020-11-12,2020-12-12,6951.22,RON,0.00,0.00,6951.22,NULL,2304,2723
11487,MH,2899,2020-11-16,2020-12-16,15644.10,RON,0.00,0.00,15644.10,NULL,2304,2723
11486,FD,3085,2020-11-23,2020-12-31,3595.30,RON,0.00,0.00,3595.30,NULL,2376,2590
11485,BBD,104,2020-11-10,2021-03-10,466000.00,RON,0.00,0.00,583175.51,NULL,2482,2724
11484,FD,3084,2020-11-23,2020-12-31,2754.47,RON,0.00,0.00,2754.47,NULL,2376,2590
11483,FD,3083,2020-11-23,2020-12-31,2493.51,RON,0.00,0.00,2493.51,NULL,2376,2590
11482,MH,2870,2020-11-11,2021-01-11,4575.18,RON,0.00,0.00,4575.18,NULL,2304,2707
11481,MH,2483,2020-09-18,2020-12-17,9541.63,RON,0.00,0.00,9541.63,NULL,2304,2707
11480,MH,2689,2020-10-16,2020-12-15,9569.31,RON,0.00,0.00,9569.31,NULL,2304,2708
11479,MH,2688,2020-10-16,2020-12-15,9569.31,RON,0.00,0.00,9569.31,NULL,2304,2708
11478,MH,2647,2020-10-12,2020-12-11,6261.49,RON,0.00,0.00,6261.49,NULL,2304,2708
11477,MH,2646,2020-10-12,2020-12-11,6261.49,RON,0.00,0.00,6261.49,NULL,2304,2708
11476,MH,2634,2020-10-09,2020-12-08,476.00,RON,0.00,0.00,476.00,NULL,2304,2708
11475,MB,497083,2020-11-24,2020-12-30,4160.00,RON,0.00,4160.00,8320.22,4160.00,1057,1664
11474,Bv,0395,2020-11-24,2020-12-24,3000.00,RON,0.00,0.00,4870.15,NULL,1012,2722
11473,LTCI/2020/,074,2020-11-24,2021-02-03,17832.08,RON,0.00,0.00,22290.10,17832.08,2207,2367
11472,AAA,16,2020-11-24,2021-01-15,11305.00,RON,0.00,11305.00,11305.00,11305.00,2425,2671
11471,NARRO,10343,2020-11-23,2020-12-23,42697.20,RON,0.00,0.00,42697.20,NULL,2433,2719
11470,CTADO,668,2020-11-24,2020-12-24,7244.55,RON,0.00,7244.55,7244.55,7244.55,2404,2646
11469,OKD20,842,2020-11-24,2020-12-24,46335.32,RON,0.00,0.00,46335.32,NULL,2470,2721
11468,COUGAR,2282,2020-11-02,2021-01-07,87776.30,RON,0.00,87776.30,87776.30,87776.30,1482,1532
11467,DRK,11/2020032,2020-11-19,2020-12-21,4872.90,RON,0.00,0.00,4872.90,NULL,906,1052
11466,DRK,11/2020031,2020-11-19,2020-12-21,3654.68,RON,0.00,0.00,3654.68,NULL,906,1052
11465,DRK,11/2020030,2020-11-19,2020-12-21,5360.19,RON,0.00,0.00,5360.19,NULL,906,1052
11464,DRK,11/2020029,2020-11-19,2020-12-21,4385.61,RON,0.00,0.00,4385.61,NULL,906,1052
11463,DRK,11/2020028,2020-11-19,2020-12-21,4872.90,RON,0.00,4872.90,4872.90,4872.90,906,1052
11462,DRK,11/2020027,2020-11-19,2020-12-14,4629.26,RON,0.00,4629.26,4629.26,4629.26,906,1052
11461,end,244.246_bo1278030,2020-11-17,2021-02-10,21000.00,RON,0.00,21000.00,54600.00,21000.00,717,830
11460,DRK,112020026,2020-11-19,2020-12-14,5116.55,RON,0.00,5116.55,5116.55,5116.55,906,1052
11459,DRK,11/2020025,2020-11-19,2020-12-14,5116.55,RON,0.00,5116.55,5116.55,5116.55,906,1052
11458,DRK,11/2020024,2020-11-19,2020-12-14,5360.19,RON,0.00,5360.19,5360.19,5360.19,906,1052
11457,DRK,11/2020023,2020-11-19,2020-12-14,5360.19,RON,0.00,5360.19,5360.19,5360.19,906,1052
11456,NARRO,10335,2020-11-23,2020-12-23,46124.40,RON,0.00,46124.40,46124.40,46124.40,2433,2684
11455,FDT20,188,2020-11-19,2021-12-19,1051127.00,RON,0.00,0.00,1051127.00,NULL,2468,2720
11454,MB,495631,2020-11-20,2020-12-30,1400.00,RON,0.00,1400.00,2803.00,1400.00,1057,1664
11453,MB,495187,2020-11-20,2020-12-30,1400.00,RON,0.00,1400.00,2803.00,1400.00,1057,1664
11452,NARRO,10338,2020-11-23,2020-12-23,71290.60,RON,0.00,0.00,71290.60,NULL,2433,2719
11451,MH,2956,2020-11-23,2020-12-30,2008.72,RON,0.00,0.00,2008.72,2008.72,2304,2478
11450,MH,2948,2020-11-23,2021-01-06,6030.82,RON,0.00,0.00,6030.82,6030.82,2304,2478
11449,CTB,P43,2020-11-18,2021-01-22,9644.71,RON,0.00,0.00,9644.71,9644.71,451,2614
11448,CTB,P41-2,2020-11-03,2021-01-08,6860.35,RON,0.00,6860.35,26860.35,6860.35,451,2614
11447,LTCI/2020/,073,2020-11-23,2021-02-03,34386.68,RON,0.00,34386.68,42983.35,34386.68,2207,2367
11446,RSK,357,2020-11-23,2021-01-22,3570.00,RON,0.00,0.00,3570.00,NULL,535,659
11445,Pcmd,5339,2020-11-02,2020-12-02,319.14,RON,0.00,0.00,319.14,NULL,2467,2718
11444,Ferm,240,2020-11-17,2021-01-05,1234.04,RON,0.00,1234.04,1234.04,1234.04,2242,2402
11443,Ferm,239,2020-11-17,2021-01-05,557.52,RON,0.00,557.52,557.52,557.52,2242,2402
11442,Ferm,238,2020-11-03,2021-01-05,1112.06,RON,0.00,1112.06,1112.06,1112.06,2242,2402
11441,Ferm,237,2020-10-21,2021-01-05,789.57,RON,0.00,789.57,789.57,789.57,2242,2402
11440,aad,0151,2020-11-23,2021-01-07,3046.40,RON,0.00,3046.40,3046.40,3046.40,1796,2654
11439,TNY,0260,2020-10-30,2020-12-03,69582.10,RON,0.00,0.00,69582.10,NULL,1758,2225